node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
7,4,50,2.008443086791208,-22.96548539518629,161837292,-22.96546016112501,96926167
5,3,50,1.5067627923173248,-15.500142023954616,54312584,-15.500135526427611,37809791
23,12,50,3.3079931332931567,-85.82287711211666,72907208,-87.49287029965991,130906417
15,8,50,5.108840310640869,NaN,84778375,-51.02232949595742,82775583
3,2,50,0.25814054714154006,-7.363336369580442,24242542,-7.363336350288988,11887416
3,2,50,0.7768067920209734,-9.780949213085375,35616292,-9.780949574982042,17271500
21,11,50,2.6257616488314524,-69.8530325488935,66261042,-69.85726074916609,116205709
3,2,50,0.68445356195538,-9.148408198550616,31424625,-9.148408067210575,18773500
75,38,50,4.358047776328886,-303.19200959345955,75702958,-307.1480330133493,406808208
93,47,50,4.073929697772957,-346.1111460870558,72013750,-358.2714152494797,482930833
3,2,50,0.7677496859934541,-8.875627353277356,33370416,-8.87562735228485,16622750
13,7,50,3.3051186479878853,-46.0284796125284,58231375,-46.027550290669225,72488458
5,3,50,1.0309798324712967,-14.11588636076436,35441667,-14.115886575419019,25936625
17,9,50,3.5590185845464046,-55.45289057420323,62299792,-60.404299057311775,98580916
3,2,50,1.3169710239892856,-6.8756540121300525,37389625,-6.875654014461774,15227584
7,4,50,3.00410878028765,-26.053205319760284,54890542,-26.053245959623926,52385708
27,14,50,2.788915865386233,-101.22143116443235,55183792,-101.1793363633933,130635709
3,2,50,1.524239788720326,-9.215006895492046,38797292,-9.215006982271344,23886833
3,2,50,1.617928965083328,-9.748785302053516,40786375,-9.748785308568714,25496375
5,3,50,0.6134585632377874,-11.349595238501289,29965750,-11.349595531633607,18209417
3,2,50,1.961609636909413,-9.3653819315255,45631666,-9.365381984357706,24985666
3,2,50,0.8352380054998794,-11.13231170462385,32526500,-11.132311655624004,14615708
5,3,50,1.880801456965436,-18.888776420928572,46524333,-18.88875023260001,33061042
25,13,50,2.709009458737444,-89.29311994000938,54330125,-88.19680450706066,128543625
3,2,50,0.4668993092060346,-4.15454909245768,26431208,-4.1545491408747335,13480792
3,2,50,2.109194315360577,-11.590561203550507,49036416,-11.590561234130702,19075000
3,2,50,0.22423443912943536,-8.49384845947213,21233750,-8.493848462353725,10294917
367,184,50,4.894898094450961,NaN,89208875,-1724.0418866495218,1771932042
3,2,50,1.2022510541389198,-7.155825456747003,36025167,-7.155825452128218,15323292
3,2,50,0.13120167340271666,-8.479945510244622,19637916,-8.479945510880485,10022666
9,5,50,2.087788020792413,-30.11793839582873,46271958,-30.11784437753008,42572500
3,2,50,0.8349768597816132,-10.210177138831527,32290459,-10.210177291960818,15387584
17,9,50,4.2939994695768195,NaN,65752625,-64.87608625139019,99109917
5,3,50,1.7941294148423266,-19.451120867704688,42377625,-19.451120882714335,33501500
3,2,50,2.4973275244700717,-11.570999797193046,50512208,-11.570999546624744,32859750
19,10,50,3.3541774388320897,-63.466176190935315,60070208,-63.465742784296296,120600625
19,10,50,3.063310213497087,-62.96807802666214,58115792,-62.93459281693895,109551042
5,3,50,1.270486674469336,-14.666761610093008,36500667,-14.666609284517532,26122791
3,2,50,0.73452198883623,-7.20708244807466,31123000,-7.207082509557726,19288000
129,65,50,3.7389843357275163,-514.9357025410718,70898750,-539.107898461413,634647542
3,2,50,0.9560735708383103,-7.625061216055302,34199875,-7.625061219303051,15702583
9,5,50,2.6887627134173813,-33.368295344667764,55152167,-32.408985383765824,56076375
91,46,50,5.045110023019424,NaN,75732709,-371.89456508497176,453386458
3,2,50,1.0629604176528844,-9.81405567658915,35655625,-9.814055696139581,16892875
3,2,50,1.3377417693339781,-8.26398037395502,37361708,-8.263981820086743,24461084
21,11,50,4.291308846944067,NaN,65147083,-76.4305566334726,130303625
167,84,50,4.619710221602858,NaN,78554125,-746.3377767516487,873098584
5,3,50,0.9506710169511811,-15.262693383087091,34429833,-15.262695076273989,21632208
25,13,50,4.4735638224595045,-78.20617338976491,68215250,-88.07805466518771,130760209
203,102,50,5.396043527966128,NaN,84373417,-901.0503645776096,902775250
185,93,50,5.195705191576007,-718.9080731361712,79847167,-837.8767589207566,979483667
31,16,50,4.671378098482365,-112.85880265407206,70677875,-114.7271910596111,163015083
133,67,50,5.19972351997749,NaN,78012875,-593.0185013382247,691413917
7,4,50,1.9701014589304648,-19.8399989478249,45556292,-19.8399775071563,41908666
3,2,50,3.25909493980427,-12.347307408703308,57251792,-12.347307390260607,27865667
3,2,50,0.8225304273590706,-13.317339141749324,33821875,-13.3173392401855,16468625
3,2,50,2.2415743978061613,-13.79046427777358,47688125,-13.790464294268897,26137208
37,19,50,5.250011428139038,NaN,74512333,-134.22793571736696,193851792
51,26,50,3.971212166125098,NaN,65435292,-205.3024697128293,262635667
3,2,50,3.6223510416884155,-13.318998962201213,59796791,-13.318998791701075,29966791
3,2,50,1.351469937792364,-6.681591284514443,38576625,-6.6815912307341865,18506292
11,6,50,4.110079174138704,-34.3932713648216,62887875,-38.36460707202371,67173042
3,2,50,0.6068147231692604,-7.504114040663042,28927208,-7.504114026123895,14133416
3,2,50,0.980728168524728,-10.440708981014494,35227666,-10.440708987834201,16596083
5,3,50,1.9206269702814307,-15.349735936354907,44491458,-15.349736020611697,31004125
7,4,50,1.788365154332686,-21.52561358902853,43203125,-21.525619555100384,33710208
11,6,50,3.9673154514069413,-34.18175591869445,65959417,-34.18203590342796,51842250
23,12,50,2.5581405938908675,-79.16787766387532,52200708,-79.16786312544033,110890417
3,2,50,0.46701077318203094,-8.921517124403465,26952250,-8.921517121771469,12808791
105,53,50,4.627987794820852,NaN,73804458,-436.7419195987054,517778000
29,15,50,1.9257806286804278,-99.11450481325792,45487917,-99.11445130231813,141145667
3,2,50,2.953501687051265,-14.815904894978008,55579542,-14.817522720044144,30869334
5,3,50,3.414421512649574,-20.811891314007703,59249000,-20.810457899806025,31142667
39,20,50,4.6804457102483195,NaN,70058083,-129.7494811337596,189002291
377,189,50,5.468824404131497,NaN,96831208,-1728.1962862547352,1750373167
3,2,50,0.4835847528314131,-6.810072885649989,26642292,-6.8100729111387945,14955958
25,13,50,3.8567656693416525,-85.92102062090103,62884083,-88.960592265577,130100208
5,3,50,1.8472457827308244,-15.773713749244752,45684708,-15.77371375727792,28266417
23,12,50,3.824648964351773,-85.24796147638219,62485417,-87.37868572419592,136489292
3,2,50,0.22909368498479515,-9.410470104527436,21441500,-9.410470110779723,10326833
3,2,50,2.04593056105671,-9.30605748233,44982875,-9.30605747453489,22275458
7,4,50,4.206335338403985,NaN,64277500,-28.88359661781361,51525959
3,2,50,0.006223067831144069,-3.572895683102267,24467875,-3.5728956831022893,9613750
3,2,50,0.625469231231548,-9.108003426710084,48024792,-9.108003430038147,19278750
43,22,50,2.651740991589414,-169.86801687909156,69663750,-169.86184100927886,265645125
3,2,50,2.280678088357022,-12.079545201717371,56025833,-12.079545217142913,30698375
9,5,50,3.8539676036364243,-34.50949779139832,72831625,-34.54626839801206,62576417
31,16,50,2.3701754251070435,-106.43427388914324,62065208,-106.43365681009712,228248917
47,24,50,3.9181559853155528,-171.70074097316694,87877959,-173.04709778085729,307008625
5,3,50,2.2577783691925006,-15.607560189274006,63563500,-15.607560558951887,43254083
3,2,50,0.4333071317507911,-9.614229559008686,27477167,-9.614229588856368,14927084
127,64,50,4.3024887113873325,-517.1008335878358,76589542,-544.8968344538004,809852250
3,2,50,2.181177882109351,-10.903753585383836,64627125,-10.903894756840693,32102125
3,2,50,0.061047674591537315,-10.499103821436218,20207416,-10.49910382148091,8718083
3,2,50,3.4290734016941933,-16.06168192763353,68456084,-16.06168191116341,33315250
285,143,50,5.186709646913542,NaN,115933459,-1294.0745175095753,1765997167
5,3,50,2.820874950774931,-18.99064052825547,72410500,-18.990684887220443,54129875
21,11,50,3.2066233160992956,-70.86032166361994,76987708,-77.8398862885035,125208792
5,3,50,4.980987019486434,-21.74831298623021,93962666,-21.748325077480843,54537166
89,45,50,3.9952515816547436,NaN,79293667,-357.50861238927445,612917375
37,19,50,5.092479014256753,-139.5914298552061,89968917,-143.72232085974562,271955875
13,7,50,2.552586125625995,-48.0766908004031,69537500,-48.076528512139745,91623375
3,2,50,1.2223201802346382,-10.095756554252564,44850708,-10.095755693536574,20971709
525,263,50,5.3442081567380315,NaN,109730125,-2623.1504389036727,3391586584
3,2,50,1.4197048919267177,-8.488976701014623,51778250,-8.488976706217773,27848042
9,5,50,2.8614929862580354,-32.49075464859207,73374042,-32.491592255682264,76070958
25,13,50,3.1173349042264515,-92.26945494384357,75999458,-92.23897490742264,162378625
3,2,50,3.1807787619077255,-11.372670854500782,75113625,-11.372670835202857,38757708
125,63,50,3.637242770412079,NaN,92016292,-512.918635525145,802807583
19,10,50,3.551726965175615,-65.47395439109968,81163792,-70.77184067897772,168297209
23,12,50,3.0422144733616094,-83.67102446111075,74782084,-83.67109935788585,166726666
17,9,50,5.159337700757838,-52.891781980801994,95370417,-72.70499660225721,151050084
5,3,50,1.338813814267229,-14.393529614279549,48607541,-14.393533678752078,36805458
13,7,50,4.108382675587361,-43.63115658918463,85924167,-43.985189198441276,94851292
3,2,50,0.41895322206990493,-6.726865857927745,39839416,-6.726865843348275,18477291
45,23,50,3.87095339226913,-151.72486046304405,84513542,-164.99456507911088,317376958
25,13,50,5.422232440468997,-58.30306604993642,101459459,-96.81950906459329,192647584
139,70,50,4.86024606622965,-541.6205013062054,102601292,-581.1154522605598,872079666
73,37,50,4.092036575159874,NaN,91410084,-278.73436233610727,464244708
3,2,50,4.209824881630563,-13.971424387696626,86930500,-13.971424352348077,44407125
35,18,50,3.623605867500298,NaN,81860792,-114.03905265631363,240316459
9,5,50,1.2058916195371274,-29.726016252830046,49203666,-29.725836171687888,48208417
19,10,50,2.533744160382059,-67.46963387115231,68230625,-67.47021484971448,133366209
5,3,50,3.16937096774183,-20.37638134033243,76672625,-20.376381355730622,41723083
3,2,50,2.7991093698334657,-11.641391140817904,71268292,-11.641391401914703,37392084
5,3,50,1.3890096211089291,-15.982897854697484,49749708,-15.982895558089457,40897750
185,93,50,5.3755270728578814,NaN,99175708,-834.1259398775453,1189656542
35,18,50,3.260616554992177,-121.74715859629488,77119958,-122.42344124377396,232703625
13,7,50,1.9447083017081142,-40.02417247773913,59510333,-40.02413286696206,84577625
37,19,50,2.580790350313631,-129.18151619302208,70537833,-129.17936970369942,230520917
25,13,50,4.190156586250175,NaN,84217500,-89.43527981659393,181778875
11,6,50,3.036045996410911,NaN,73458209,-39.61607656802311,99538375
3,2,50,0.9417572852157063,-9.070027821807106,45599041,-9.070027821146747,24473167
3,2,50,0.32553565217817027,-5.350942195841339,31189666,-5.35094220010816,14072667
5,3,50,0.8922147262013702,-12.393343148508396,45731292,-12.393343346731477,32600167
69,35,50,3.3832447045045555,-247.98243958582182,83059375,-257.47739342217835,432149375
3,2,50,1.779590446206316,-9.522090893087956,58802875,-9.522089910690049,29259375
45,23,50,3.844626140204115,NaN,87604250,-179.80065179134655,322814791
3,2,50,3.082989932977985,-16.3242998572578,74502667,-16.324299896728505,31925458
3,2,50,0.3244266078629236,-6.896626414501115,30451458,-6.896626514954093,15227459
3,2,50,1.035026112419112,-8.817909056442755,46035292,-8.81790917069915,22451250
9,5,50,3.2735706384050314,-30.16390796820123,78847334,-30.1692125561257,76143333
3,2,50,0.1399654261117393,-7.279456020567728,26703375,-7.279456020904396,11430333
3,2,50,1.0203535020065309,-8.767663272020844,45834709,-8.767663256089717,25525541
5,3,50,1.1831400441237716,-13.726491539429318,48579334,-13.726490799918997,40911834
3,2,50,0.12707118980150456,-5.969538420445827,26241625,-5.969538419528367,10719375
61,31,50,4.840832206311181,NaN,96415917,-244.96592262819945,454136958
7,4,50,2.5301697883030507,-22.650955644165307,68465833,-22.55549100938619,71111583
3,2,50,1.3737241945138532,-9.556722863554187,52894625,-9.556722889430219,25482292
15,8,50,2.647883918879908,-50.2626393570281,70574750,-50.26279400103461,97957250
31,16,50,3.3173292816314754,NaN,81181209,-113.21142430249766,201221459
7,4,50,3.1223383300421745,-26.223882219431342,77444042,-26.223898433726568,54259500
17,9,50,2.1335273775325496,-54.777302911413315,62308042,-54.77732095128481,118765208
3,2,50,1.696714962163991,-9.839426289148498,57021042,-9.839426111692724,28430750
73,37,50,3.1552113414849825,NaN,80221125,-276.69597982560646,445988750
3,2,50,0.5661328897700884,-9.327589255657486,36789500,-9.32758925918808,22566125
75,38,50,3.5456859542752213,-276.6506044833253,85970500,-283.1729679117879,454273917
3,2,50,0.9824846857656955,-8.091157123106997,45768708,-8.091157037931373,27775500
3,2,50,1.9932646257321434,-9.903606042579312,60648792,-9.903606062394912,33669583
3,2,50,5.358050498435641,-16.565162248763997,97231125,-16.565161918215114,49601209
11,6,50,1.8146840323616702,-29.73933128281601,59127750,-29.739297817295565,79860459
7,4,50,1.7150059363833232,-22.821785596399724,55524458,-22.821793860773308,46797083
25,13,50,3.0265362942004286,-91.31535202655812,76250917,-91.30835804526384,163016917
7,4,50,1.7530308526528282,-21.795075406400965,57448958,-21.79507408601681,46530458
3,2,50,1.2477433765579857,-10.425195937734676,51982625,-10.425195827308682,33061917
3,2,50,2.6854631213803315,-12.19751346208374,69467875,-12.19751307993325,33027125
11,6,50,2.3868167675728786,-31.71989371672204,67877959,-31.719991470047812,77858042
3,2,50,4.276522472504048,-15.205259314762976,85533000,-15.205259228642657,36503458
11,6,50,2.571724648032297,-33.655884845927105,68767375,-33.65588073540364,92493917
3,2,50,0.3440433210543522,-8.095622699678037,32069000,-8.095622717155361,15444500
15,8,50,2.456907793249768,-52.51431695283696,73561667,-52.514382444050106,76933125
23,12,50,2.0902163051008786,-73.23489517820413,52178333,-73.2348826535632,119435500
7,4,50,2.1584308541565727,-24.43364736472958,61132416,-24.43367921803094,44677292
3,2,50,0.6486597132956445,-9.52980791232024,39339333,-9.529807888631908,18478917
27,14,50,3.774330322763093,NaN,85964334,-101.09170124046312,194345000
3,2,50,0.17166435316962902,-7.0917210845730665,27075084,-7.091721086492289,13398625
69,35,50,3.650640427023022,-253.76995002340178,85750708,-266.3486507344178,487550000
9,5,50,3.803924369923438,NaN,85001417,-32.202456774204144,79333542
113,57,50,3.294875916483241,-474.1243595730458,81164000,-480.6769919325013,612845709
17,9,50,3.7460323473372616,-58.71579090813446,84676083,-59.856740285006026,147066625
13,7,50,2.6662488633706265,-42.87240418320742,72531083,-42.872322232060675,92611834
57,29,50,3.495365162697395,NaN,80088958,-209.53104765653768,318277042
7,4,50,3.4167709412858653,-24.94019101590745,80584750,-24.940113937742005,53293583
71,36,50,3.7768867134099744,NaN,88461250,-284.09729645371146,523465167
91,46,50,5.208591315066153,NaN,96643583,-372.98843633267273,622168625
3,2,50,0.8503483729247767,-11.81261828790857,43736125,-11.812618651767336,22355584
17,9,50,2.312223065557262,-53.21781412138602,66780083,-53.261041781270734,121605583
15,8,50,3.5821922750141004,NaN,82364375,-54.283085376902726,123597833
3,2,50,1.6273167094550507,-11.08132325523801,55451000,-11.081323252466653,27438000
3,2,50,2.1242554526065414,-9.435076425551912,63228792,-9.435076446503862,34767750
3,2,50,1.774738829738532,-9.52837564005977,57094625,-9.528375717664366,32288208
3,2,50,0.7916014738060512,-7.4548728100777915,42623667,-7.454872814701492,23766042
3,2,50,1.4561263238129398,-9.33697781041611,52995917,-9.336977841986105,28202917
9,5,50,3.018182186296577,-31.3025029253695,75946958,-31.30250319682874,68801667
3,2,50,2.9678491323525575,-12.427526142749759,75415667,-12.427475949034946,35453833
3,2,50,0.9016407621109617,-12.212278530207955,44947833,-12.212278533531208,22179750
53,27,50,3.201242307843877,NaN,80211750,-194.8293963681005,375417750
3,2,50,1.082762483275146,-7.702151780678884,46551375,-7.702152048003773,23163417
185,93,50,5.153746650269687,NaN,111954375,-811.0068180005331,1167050042
3,2,50,0.1165553069539102,-10.531272077728225,26187833,-10.531272078702822,11361750
3,2,50,1.6676589476468344,-10.464927959643763,58727458,-10.464928204949342,26946417
